IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Tie_Choice	DarkGray_Choice	Hourglass_Choice	Puzzle_Choice	Pacman_Choice	LightGray_Choice	Ditto_Choice	LightRed_Choice	Spade_Choice	Sawblade_Choice	Gem_Choice	LightRed_Choice	Heart_Choice	LightYellow_Choice	Hourglass_Choice	Spike_Choice	Bell_Choice	LightBlue_Choice
Spade_Probe	Jellyfish_Probe	LightBlue_Probe	Acorn_Probe	DarkGreen_Probe	Lock_Probe	Venn_Probe	Ditto_Probe	DarkBlue_Probe	House_Probe	DarkTurquiose_Probe	Spike_Probe	Dodecagon_Probe	Stickyhand_Probe	DarkTurquiose_Probe	LeftArrow_Probe	LightTurquiose_Probe	Dodecagon_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade_Choice	Jellyfish_Choice	LightBlue_Choice	Acorn_Choice	DarkGreen_Choice	Lock_Choice	Venn_Choice	Ditto_Choice	DarkBlue_Choice	House_Choice	DarkTurquiose_Choice	Spike_Choice	Dodecagon_Choice	Stickyhand_Choice	DarkTurquiose_Choice	LeftArrow_Choice	LightTurquiose_Choice	Dodecagon_Choice
DarkPurple_Probe	Puzzle_Probe	Acorn_Probe	DarkPurple_Probe	Nail_Probe	Star_Probe	DarkYellow_Probe	Nail_Probe	Acorn_Probe	LightYellow_Probe	Nail_Probe	Bell_Probe	LightPurple_Probe	Venn_Probe	Pacman_Probe	LightGreen_Probe	Hourglass_Probe	Star_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple_Choice	Puzzle_Choice	Acorn_Choice	DarkPurple_Choice	Nail_Choice	Star_Choice	DarkYellow_Choice	Nail_Choice	Acorn_Choice	LightYellow_Choice	Nail_Choice	Bell_Choice	LightPurple_Choice	Venn_Choice	Pacman_Choice	LightGreen_Choice	Hourglass_Choice	Star_Choice
Star_Probe	LightGreen_Probe	Dodecagon_Probe	Spike_Probe	Chevron_Probe	LightTurquiose_Probe	Tie_Probe	DarkGreen_Probe	Venn_Probe	Rabbit_Probe	House_Probe	DarkRed_Probe	Bell_Probe	LightTurquiose_Probe	Sawblade_Probe	Hat_Probe	LeftArrow_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Star_Choice	LightGreen_Choice	Dodecagon_Choice	Spike_Choice	Chevron_Choice	LightTurquiose_Choice	Tie_Choice	DarkGreen_Choice	Venn_Choice	Rabbit_Choice	House_Choice	DarkRed_Choice	Bell_Choice	LightTurquiose_Choice	Sawblade_Choice	Hat_Choice	LeftArrow_Choice	DarkGreen_Choice
